token_id,enterer,utterance_id,irrel,embed,compar,neg_pres,neg_even,sent_neg,position,focus,likely,comment,embed_assoc,part_of_speech.u,stem.u,speaker_id,utterance_order,transcript_id,gloss,num_tokens,stem.t,part_of_speech.t,speaker_code,speaker_name,speaker_role,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,num_morphemes,corpus_name
13071633,Yadav,3292046,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5006,270,7505,even if they're boys,4,even if they boy,adv conj pro:sub n,SIS,NA,Sister,1296.375,Laura,female,declarative,552.081,548.981,s,6,Braunwald
13072123,Yadav,3292186,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5006,17,7522,even though she looks kind of icky,7,even though she look kind of icky,adv adv pro:sub v n prep adj,SIS,NA,Sister,1447.5625,Laura,female,declarative,43.711,41.377,s,8,Braunwald
13074292,Yadav,3292795,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Adjunct,Most-likely,,0,v,even,5006,443,7501,you're not gonna even sit next to her,8,you not gonna even sit next to her,pro:per neg mod:aux v v adv prep pro:obj,SIS,NA,Sister,1275.9375,Laura,female,declarative,1191.705,1189.394,s,9,Braunwald
13075180,Yadav,3293046,0,0,0,No,N/A,No,Post-Subject,Verb,Least-likely,,0,adj,even,5006,60,7523,babies probably even talk to each other because they know what googa is and that kind of stuff means,19,baby probable even talk to each other because they know what googa be and that kind of stuff mean,v adv adj n prep qn qn conj pro:sub v pro:int on aux coord det:dem adj prep n v,SIS,NA,Sister,1532.875,Laura,female,declarative,163.57,157.451,s,24,Braunwald
13076469,Yadav,3293403,0,0,1,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5006,311,7507,I was even taller than you little kids,8,I be even tall than you little kid,pro:sub cop adv adj prep pro:per adj n,SIS,NA,Sister,1297.375,Laura,female,declarative,582.349,579.562,s,12,Braunwald
13078393,Yadav,3293891,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adj,even,5006,555,7503,no because Suzanna doesn't have all the nice letters like Susan even has a a in it,17,no because Suzanna do have all the nice letter like Susan even have a a in it,co conj n:prop mod v qn det:art adj n co n:prop adj v det:art n:let prep pro:per,SIS,NA,Sister,1294.375,Laura,female,declarative,998.692,991.853,s,21,Braunwald
13079240,Yadav,3294134,0,0,0,Yes,Even-Neg,No,Pre-Subject,Adjunct,Least-likely,,0,adv,even,5006,117,7522,even though he didn't eat anything he's wet,8,even though he do eat anything he wet,adv adv pro:sub mod v pro:indef pro:sub part,SIS,NA,Sister,1447.5625,Laura,female,declarative,404.404,401.977,s,12,Braunwald
13089625,Yadav,3297116,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5007,898,7498,can have it for dinner once even,7,can have it for dinner once even,mod v pro:per prep n adv adv,FAT,NA,Father,1275.9375,Laura,female,declarative,1520.437,1518.684,s,7,Braunwald
13089856,Yadav,3297196,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,5008,51,7533,not even her,3,not even her,neg v pro:obj,MOT,NA,Mother,1563.3125,Laura,female,declarative,118.129,117.096,s,3,Braunwald
13090023,Yadav,3297256,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Adjunct,Most-likely,,0,v,even,5008,54,7533,not even two and a half,6,not even two and a half,neg v det:num coord det:art n,MOT,NA,Mother,1563.3125,Laura,female,declarative,121.415,119.987,s,6,Braunwald
